dish,aliases,cuisine,species,notes
chocolate chip cookies,cookies; chocolate chip cookie,American,Triticum aestivum; Bos taurus; Gallus gallus; Saccharum officinarum; Theobroma cacao; Vanilla planifolia,
banana bread,,American,Musa acuminata; Triticum aestivum; Gallus gallus; Bos taurus; Saccharum officinarum,
cinnamon roll,cinnamon rolls; cinnamon bun,American,Triticum aestivum; Saccharomyces cerevisiae; Bos taurus; Gallus gallus; Saccharum officinarum; Cinnamomum verum,
doughnut,donut; donuts; doughnuts,American,Triticum aestivum; Saccharomyces cerevisiae; Gallus gallus; Bos taurus; Saccharum officinarum,
ice cream,vanilla ice cream; sundae,American,Bos taurus; Saccharum officinarum; Gallus gallus; Vanilla planifolia,
chocolate ice cream,,American,Bos taurus; Saccharum officinarum; Gallus gallus; Theobroma cacao,
milkshake,chocolate milkshake; vanilla milkshake,American,Bos taurus; Saccharum officinarum; Vanilla planifolia,
smoothie,fruit smoothie; berry smoothie,American,Musa acuminata; Fragaria × ananassa; Vaccinium corymbosum; Bos taurus,
popcorn,,American,Zea mays; Bos taurus,
nachos,loaded nachos,Tex-Mex,Zea mays; Bos taurus; Phaseolus vulgaris; Capsicum annuum; Solanum lycopersicum; Allium cepa; Persea americana,
quesadilla,cheese quesadilla; chicken quesadilla,Tex-Mex,Triticum aestivum; Bos taurus; Gallus gallus; Allium cepa; Capsicum annuum,
fajitas,chicken fajitas; steak fajitas,Tex-Mex,Gallus gallus; Bos taurus; Capsicum annuum; Allium cepa; Triticum aestivum; Citrus aurantiifolia; Cuminum cyminum,
burrito,bean burrito; breakfast burrito; burritos,Tex-Mex,Triticum aestivum; Oryza sativa; Phaseolus vulgaris; Bos taurus; Solanum lycopersicum; Allium cepa; Capsicum annuum; Lactuca sativa,
chimichanga,,Tex-Mex,Triticum aestivum; Bos taurus; Phaseolus vulgaris; Solanum lycopersicum; Allium cepa; Capsicum annuum,
tacos,taco; street tacos; tacos al pastor; carne asada tacos; carnitas tacos,Mexican,Zea mays; Bos taurus; Sus scrofa; Allium cepa; Coriandrum sativum; Citrus aurantiifolia; Capsicum annuum,
fish tacos,baja fish tacos,Mexican,Zea mays; Oreochromis niloticus; Brassica oleracea; Citrus aurantiifolia; Capsicum annuum; Triticum aestivum; Gallus gallus; Coriandrum sativum,
guacamole,guac,Mexican,Persea americana; Allium cepa; Coriandrum sativum; Citrus aurantiifolia; Capsicum annuum; Solanum lycopersicum,
salsa,pico de gallo; salsa fresca; salsa roja,Mexican,Solanum lycopersicum; Allium cepa; Capsicum annuum; Coriandrum sativum; Citrus aurantiifolia,
salsa verde,tomatillo salsa,Mexican,Physalis philadelphica; Capsicum annuum; Allium cepa; Allium sativum; Coriandrum sativum,
enchiladas,enchilada; chicken enchiladas,Mexican,Zea mays; Gallus gallus; Capsicum annuum; Solanum lycopersicum; Allium cepa; Allium sativum; Bos taurus; Cuminum cyminum; Lippia graveolens,
tamales,tamal; tamale,Mexican,Zea mays; Sus scrofa; Capsicum annuum; Allium sativum,
chilaquiles,,Mexican,Zea mays; Physalis philadelphica; Capsicum annuum; Allium cepa; Bos taurus; Gallus gallus; Coriandrum sativum,
huevos rancheros,,Mexican,Gallus gallus; Zea mays; Solanum lycopersicum; Capsicum annuum; Allium cepa; Allium sativum; Phaseolus vulgaris,
pozole,posole; pozole rojo,Mexican,Zea mays; Sus scrofa; Capsicum annuum; Allium sativum; Allium cepa; Lippia graveolens; Brassica oleracea; Raphanus sativus; Citrus aurantiifolia,
mole poblano,mole; chicken mole,Mexican,Gallus gallus; Capsicum annuum; Theobroma cacao; Prunus dulcis; Sesamum indicum; Cinnamomum verum; Syzygium aromaticum; Allium sativum; Allium cepa; Solanum lycopersicum; Musa × paradisiaca; Vitis vinifera,
elote,mexican street corn; esquites,Mexican,Zea mays; Bos taurus; Capsicum annuum; Citrus aurantiifolia,
ceviche,,Peruvian,Dicentrarchus labrax; Citrus aurantiifolia; Allium cepa; Capsicum annuum; Coriandrum sativum; Ipomoea batatas; Zea mays,
cochinita pibil,,Mexican,Sus scrofa; Bixa orellana; Citrus sinensis; Allium sativum; Allium cepa; Capsicum chinense,
carnitas,,Mexican,Sus scrofa; Citrus sinensis; Allium sativum; Lippia graveolens; Cuminum cyminum,
birria,birria tacos; quesabirria,Mexican,Bos taurus; Capra hircus; Capsicum annuum; Allium sativum; Allium cepa; Cuminum cyminum; Cinnamomum verum; Syzygium aromaticum; Laurus nobilis; Zea mays; Coriandrum sativum,
sopes,sope; huaraches,Mexican,Zea mays; Phaseolus vulgaris; Bos taurus; Lactuca sativa; Solanum lycopersicum; Allium cepa,
tortilla soup,sopa de tortilla,Mexican,Zea mays; Gallus gallus; Solanum lycopersicum; Capsicum annuum; Allium cepa; Allium sativum; Persea americana; Bos taurus; Citrus aurantiifolia,
churros,churro,Mexican,Triticum aestivum; Gallus gallus; Saccharum officinarum; Cinnamomum verum; Theobroma cacao,
flan,creme caramel; crème caramel,Mexican,Gallus gallus; Bos taurus; Saccharum officinarum; Vanilla planifolia,
tres leches cake,tres leches,Mexican,Triticum aestivum; Gallus gallus; Bos taurus; Saccharum officinarum; Vanilla planifolia,
horchata,,Mexican,Oryza sativa; Cinnamomum verum; Saccharum officinarum; Vanilla planifolia,
margarita,,Mexican,Agave tequilana; Saccharomyces cerevisiae; Citrus aurantiifolia; Citrus sinensis,
margherita pizza,pizza margherita; pizza; cheese pizza; neapolitan pizza,Italian,Triticum aestivum; Saccharomyces cerevisiae; Solanum lycopersicum; Bos taurus; Ocimum basilicum; Olea europaea,
pepperoni pizza,,Italian,Triticum aestivum; Saccharomyces cerevisiae; Solanum lycopersicum; Bos taurus; Sus scrofa; Capsicum annuum; Olea europaea,
spaghetti bolognese,bolognese; ragu alla bolognese; spaghetti with meat sauce,Italian,Triticum turgidum; Bos taurus; Sus scrofa; Solanum lycopersicum; Allium cepa; Daucus carota; Apium graveolens; Allium sativum; Vitis vinifera; Olea europaea,
spaghetti carbonara,carbonara; pasta carbonara,Italian,Triticum turgidum; Gallus gallus; Sus scrofa; Ovis aries; Piper nigrum,
cacio e pepe,,Italian,Triticum turgidum; Ovis aries; Piper nigrum,
pasta alla norma,,Italian,Triticum turgidum; Solanum melongena; Solanum lycopersicum; Ocimum basilicum; Allium sativum; Ovis aries; Olea europaea,
pesto pasta,pesto; pasta al pesto; pesto genovese,Italian,Triticum turgidum; Ocimum basilicum; Pinus pinea; Allium sativum; Bos taurus; Olea europaea,
lasagna,lasagne,Italian,Triticum turgidum; Bos taurus; Sus scrofa; Solanum lycopersicum; Allium cepa; Allium sativum; Triticum aestivum; Myristica fragrans,
fettuccine alfredo,alfredo; chicken alfredo,Italian,Triticum turgidum; Bos taurus; Gallus gallus; Piper nigrum,
penne arrabbiata,arrabbiata,Italian,Triticum turgidum; Solanum lycopersicum; Allium sativum; Capsicum annuum; Olea europaea; Petroselinum crispum,
spaghetti aglio e olio,aglio e olio,Italian,Triticum turgidum; Allium sativum; Olea europaea; Capsicum annuum; Petroselinum crispum,
pasta puttanesca,puttanesca,Italian,Triticum turgidum; Solanum lycopersicum; Engraulis encrasicolus; Olea europaea; Capparis spinosa; Allium sativum; Capsicum annuum,
spaghetti alle vongole,vongole; linguine with clams,Italian,Triticum turgidum; Ruditapes philippinarum; Allium sativum; Olea europaea; Petroselinum crispum; Vitis vinifera; Capsicum annuum,
ravioli,cheese ravioli; spinach and ricotta ravioli,Italian,Triticum aestivum; Gallus gallus; Bos taurus; Spinacia oleracea; Myristica fragrans; Solanum lycopersicum,
gnocchi,potato gnocchi,Italian,Solanum tuberosum; Triticum aestivum; Gallus gallus; Bos taurus; Solanum lycopersicum,
risotto,risotto alla milanese; saffron risotto,Italian,Oryza sativa; Bos taurus; Allium cepa; Vitis vinifera; Crocus sativus,
mushroom risotto,risotto ai funghi,Italian,Oryza sativa; Agaricus bisporus; Boletus edulis; Bos taurus; Allium cepa; Vitis vinifera; Allium sativum; Petroselinum crispum,
minestrone,,Italian,Phaseolus vulgaris; Solanum lycopersicum; Allium cepa; Daucus carota; Apium graveolens; Cucurbita pepo; Solanum tuberosum; Triticum turgidum; Allium sativum; Olea europaea; Bos taurus; Ocimum basilicum,
bruschetta,,Italian,Triticum aestivum; Saccharomyces cerevisiae; Solanum lycopersicum; Allium sativum; Ocimum basilicum; Olea europaea,
focaccia,,Italian,Triticum aestivum; Saccharomyces cerevisiae; Olea europaea; Salvia rosmarinus,
garlic bread,,Italian,Triticum aestivum; Saccharomyces cerevisiae; Bos taurus; Allium sativum; Petroselinum crispum,
chicken parmesan,chicken parm; parmigiana,Italian,Gallus gallus; Triticum aestivum; Bos taurus; Solanum lycopersicum; Allium sativum; Ocimum basilicum,
eggplant parmesan,eggplant parmigiana; melanzane alla parmigiana,Italian,Solanum melongena; Solanum lycopersicum; Bos taurus; Ocimum basilicum; Allium sativum; Triticum aestivum; Gallus gallus; Olea europaea,
osso buco,ossobuco,Italian,Bos taurus; Allium cepa; Daucus carota; Apium graveolens; Solanum lycopersicum; Vitis vinifera; Citrus limon; Petroselinum crispum; Allium sativum,
saltimbocca,,Italian,Bos taurus; Sus scrofa; Salvia officinalis; Vitis vinifera,
veal milanese,cotoletta; wiener schnitzel,Italian,Bos taurus; Triticum aestivum; Gallus gallus; Citrus limon,
polenta,,Italian,Zea mays; Bos taurus,
arancini,,Italian,Oryza sativa; Bos taurus; Gallus gallus; Triticum aestivum; Pisum sativum; Solanum lycopersicum; Crocus sativus,
prosciutto e melone,prosciutto and melon,Italian,Sus scrofa; Cucumis melo,
antipasto,antipasto platter; charcuterie board; charcuterie,Italian,Sus scrofa; Bos taurus; Olea europaea; Capparis spinosa; Capsicum annuum; Penicillium nalgiovense,
tiramisu,tiramisù,Italian,Bos taurus; Gallus gallus; Coffea arabica; Theobroma cacao; Triticum aestivum; Saccharum officinarum,
panna cotta,,Italian,Bos taurus; Saccharum officinarum; Vanilla planifolia; Sus scrofa,
gelato,,Italian,Bos taurus; Saccharum officinarum; Gallus gallus,
cannoli,cannolo,Italian,Triticum aestivum; Ovis aries; Saccharum officinarum; Theobroma cacao; Pistacia vera; Citrus sinensis,
panettone,,Italian,Triticum aestivum; Saccharomyces cerevisiae; Gallus gallus; Bos taurus; Saccharum officinarum; Vitis vinifera; Citrus sinensis,
espresso,latte; cappuccino; americano; cold brew; flat white,Italian,Coffea arabica; Bos taurus,
black coffee,coffee; drip coffee; filter coffee,,Coffea arabica,
croissant,croissants; pain au chocolat,French,Triticum aestivum; Saccharomyces cerevisiae; Bos taurus; Gallus gallus,
baguette,french bread,French,Triticum aestivum; Saccharomyces cerevisiae,
quiche lorraine,quiche,French,Triticum aestivum; Bos taurus; Gallus gallus; Sus scrofa; Myristica fragrans,
french onion soup,onion soup,French,Allium cepa; Bos taurus; Triticum aestivum; Saccharomyces cerevisiae; Vitis vinifera; Thymus vulgaris,
coq au vin,,French,Gallus gallus; Vitis vinifera; Sus scrofa; Agaricus bisporus; Allium cepa; Allium sativum; Daucus carota; Thymus vulgaris; Laurus nobilis; Bos taurus; Triticum aestivum,
beef bourguignon,boeuf bourguignon,French,Bos taurus; Vitis vinifera; Sus scrofa; Agaricus bisporus; Allium cepa; Daucus carota; Allium sativum; Thymus vulgaris; Laurus nobilis; Triticum aestivum,
ratatouille,,French,Solanum melongena; Cucurbita pepo; Solanum lycopersicum; Capsicum annuum; Allium cepa; Allium sativum; Olea europaea; Thymus vulgaris; Ocimum basilicum,
bouillabaisse,,French,Dicentrarchus labrax; Lophius piscatorius; Mytilus edulis; Solanum lycopersicum; Foeniculum vulgare; Allium cepa; Allium sativum; Crocus sativus; Citrus sinensis; Olea europaea; Solanum tuberosum,
moules frites,moules marinières; mussels and fries,French,Mytilus galloprovincialis; Solanum tuberosum; Vitis vinifera; Allium cepa; Allium sativum; Petroselinum crispum; Bos taurus,
steak frites,steak and fries; steak,French,Bos taurus; Solanum tuberosum,
steak au poivre,,French,Bos taurus; Piper nigrum; Vitis vinifera,
duck confit,confit de canard,French,Anas platyrhynchos; Allium sativum; Thymus vulgaris,
cassoulet,,French,Phaseolus vulgaris; Anas platyrhynchos; Sus scrofa; Allium sativum; Allium cepa; Solanum lycopersicum; Thymus vulgaris; Daucus carota,
nicoise salad,salade niçoise; niçoise,French,Thunnus albacares; Gallus gallus; Lactuca sativa; Solanum lycopersicum; Phaseolus vulgaris; Solanum tuberosum; Olea europaea; Engraulis encrasicolus,
croque monsieur,croque madame,French,Triticum aestivum; Saccharomyces cerevisiae; Sus scrofa; Bos taurus; Gallus gallus; Myristica fragrans,
crepes,crêpes; crepe,French,Triticum aestivum; Gallus gallus; Bos taurus,
souffle,soufflé; cheese soufflé,French,Gallus gallus; Bos taurus; Triticum aestivum,
escargot,escargots,French,Helix pomatia; Bos taurus; Allium sativum; Petroselinum crispum,
foie gras,,French,Anas platyrhynchos,
creme brulee,crème brûlée,French,Bos taurus; Gallus gallus; Saccharum officinarum; Vanilla planifolia,
macarons,macaron,French,Prunus dulcis; Gallus gallus; Saccharum officinarum; Bos taurus,
tarte tatin,,French,Malus domestica; Triticum aestivum; Bos taurus; Saccharum officinarum,
mousse au chocolat,chocolate mousse,French,Theobroma cacao; Gallus gallus; Bos taurus; Saccharum officinarum,
vichyssoise,,French,Allium ampeloprasum; Solanum tuberosum; Bos taurus; Allium cepa,
pot au feu,pot-au-feu,French,Bos taurus; Daucus carota; Allium ampeloprasum; Brassica rapa; Allium cepa; Apium graveolens; Syzygium aromaticum,
boeuf tartare,steak tartare; beef tartare,French,Bos taurus; Gallus gallus; Allium cepa; Capparis spinosa; Sinapis alba; Petroselinum crispum,
paella,paella valenciana,Spanish,Oryza sativa; Gallus gallus; Oryctolagus cuniculus; Phaseolus vulgaris; Crocus sativus; Solanum lycopersicum; Allium sativum; Olea europaea; Capsicum annuum; Salvia rosmarinus,
seafood paella,paella de marisco,Spanish,Oryza sativa; Penaeus vannamei; Mytilus edulis; Loligo vulgaris; Crocus sativus; Solanum lycopersicum; Allium sativum; Olea europaea; Capsicum annuum; Pisum sativum,
tortilla española,spanish omelette; tortilla de patatas,Spanish,Gallus gallus; Solanum tuberosum; Allium cepa; Olea europaea,
gazpacho,,Spanish,Solanum lycopersicum; Cucumis sativus; Capsicum annuum; Allium cepa; Allium sativum; Olea europaea; Triticum aestivum,
patatas bravas,,Spanish,Solanum tuberosum; Solanum lycopersicum; Capsicum annuum; Allium sativum; Olea europaea; Gallus gallus,
gambas al ajillo,garlic shrimp,Spanish,Penaeus vannamei; Allium sativum; Olea europaea; Capsicum annuum; Petroselinum crispum,
jamón ibérico,jamon; jamón serrano; iberian ham,Spanish,Sus scrofa,
pan con tomate,pa amb tomàquet,Spanish,Triticum aestivum; Saccharomyces cerevisiae; Solanum lycopersicum; Allium sativum; Olea europaea,
croquetas,croquettes,Spanish,Triticum aestivum; Bos taurus; Sus scrofa; Gallus gallus,
chorizo,,Spanish,Sus scrofa; Capsicum annuum; Allium sativum,
bacalhau,bacalao; salt cod,Portuguese,Gadus morhua,
pastel de nata,pasteis de nata; portuguese custard tart,Portuguese,Triticum aestivum; Bos taurus; Gallus gallus; Saccharum officinarum; Cinnamomum verum; Citrus limon,
caldo verde,,Portuguese,Brassica oleracea; Solanum tuberosum; Sus scrofa; Allium cepa; Allium sativum; Olea europaea,
piri piri chicken,peri peri chicken,Portuguese,Gallus gallus; Capsicum frutescens; Allium sativum; Citrus limon; Olea europaea; Capsicum annuum,
sangria,,Spanish,Vitis vinifera; Saccharomyces cerevisiae; Citrus sinensis; Malus domestica; Citrus limon; Saccharum officinarum,
fish and chips,fish & chips,British,Gadus morhua; Solanum tuberosum; Triticum aestivum; Hordeum vulgare; Humulus lupulus; Saccharomyces cerevisiae; Pisum sativum,
full english breakfast,english breakfast; fry-up; full irish,British,Gallus gallus; Sus scrofa; Solanum lycopersicum; Agaricus bisporus; Phaseolus vulgaris; Triticum aestivum; Saccharomyces cerevisiae; Bos taurus,
shepherd's pie,shepherds pie; cottage pie,British,Ovis aries; Bos taurus; Solanum tuberosum; Allium cepa; Daucus carota; Pisum sativum; Solanum lycopersicum,
bangers and mash,sausage and mash,British,Sus scrofa; Solanum tuberosum; Bos taurus; Allium cepa,
sunday roast,roast beef; roast dinner; yorkshire pudding,British,Bos taurus; Solanum tuberosum; Daucus carota; Triticum aestivum; Gallus gallus; Brassica oleracea,
beef wellington,,British,Bos taurus; Triticum aestivum; Agaricus bisporus; Sus scrofa; Gallus gallus; Sinapis alba,
chicken tikka masala,tikka masala,British,Gallus gallus; Bos taurus; Solanum lycopersicum; Allium cepa; Allium sativum; Zingiber officinale; Cuminum cyminum; Coriandrum sativum; Curcuma longa; Capsicum annuum; Elettaria cardamomum,
scones,scone; cream tea,British,Triticum aestivum; Bos taurus; Saccharum officinarum; Fragaria × ananassa; Gallus gallus,
trifle,,British,Triticum aestivum; Gallus gallus; Bos taurus; Saccharum officinarum; Fragaria × ananassa; Vitis vinifera; Vanilla planifolia,
sticky toffee pudding,,British,Phoenix dactylifera; Triticum aestivum; Bos taurus; Gallus gallus; Saccharum officinarum,
irish stew,,Irish,Ovis aries; Solanum tuberosum; Allium cepa; Daucus carota; Thymus vulgaris; Petroselinum crispum,
colcannon,,Irish,Solanum tuberosum; Brassica oleracea; Bos taurus; Allium fistulosum,
guinness,stout; porter,Irish,Hordeum vulgare; Humulus lupulus; Saccharomyces cerevisiae,
beer,lager; pilsner; ale; ipa; pale ale,,Hordeum vulgare; Humulus lupulus; Saccharomyces pastorianus,
bratwurst,brats; sausages; german sausage,German,Sus scrofa; Bos taurus; Sinapis alba; Triticum aestivum; Saccharomyces cerevisiae,
sauerkraut,,German,Brassica oleracea; Carum carvi,
schnitzel,pork schnitzel; jägerschnitzel,German,Sus scrofa; Triticum aestivum; Gallus gallus; Bos taurus; Citrus limon,
pretzel,soft pretzel; brezel,German,Triticum aestivum; Saccharomyces cerevisiae; Bos taurus,
spaetzle,spätzle; käsespätzle,German,Triticum aestivum; Gallus gallus; Bos taurus; Allium cepa,
currywurst,,German,Sus scrofa; Solanum lycopersicum; Triticum aestivum; Saccharomyces cerevisiae,
goulash,gulyás; hungarian goulash,Hungarian,Bos taurus; Allium cepa; Capsicum annuum; Allium sativum; Carum carvi; Solanum lycopersicum; Solanum tuberosum; Daucus carota,
pierogi,pierogies; vareniki,Polish,Triticum aestivum; Gallus gallus; Solanum tuberosum; Bos taurus; Allium cepa,
borscht,borsch; beet soup,Ukrainian,Beta vulgaris; Brassica oleracea; Solanum tuberosum; Daucus carota; Allium cepa; Bos taurus; Anethum graveolens; Allium sativum; Solanum lycopersicum,
beef stroganoff,stroganoff,Russian,Bos taurus; Agaricus bisporus; Allium cepa; Sinapis alba; Triticum aestivum; Triticum turgidum,
blini,blinis,Russian,Fagopyrum esculentum; Triticum aestivum; Gallus gallus; Bos taurus; Saccharomyces cerevisiae,
black forest cake,schwarzwälder kirschtorte,German,Theobroma cacao; Triticum aestivum; Gallus gallus; Bos taurus; Prunus cerasus; Saccharum officinarum,
apple strudel,apfelstrudel; strudel,Austrian,Malus domestica; Triticum aestivum; Bos taurus; Saccharum officinarum; Cinnamomum verum; Vitis vinifera; Juglans regia,
fondue,cheese fondue,Swiss,Bos taurus; Vitis vinifera; Allium sativum; Triticum aestivum; Saccharomyces cerevisiae,
raclette,,Swiss,Bos taurus; Solanum tuberosum; Sus scrofa; Allium cepa; Cucumis sativus,
rösti,rosti,Swiss,Solanum tuberosum; Bos taurus,
smorgasbord,smørrebrød; open sandwich,Scandinavian,Secale cereale; Bos taurus; Clupea harengus; Salmo salar; Gallus gallus; Anethum graveolens; Allium cepa,
gravlax,gravadlax; cured salmon,Scandinavian,Salmo salar; Anethum graveolens; Saccharum officinarum; Sinapis alba,
swedish meatballs,köttbullar; meatballs,Swedish,Bos taurus; Sus scrofa; Allium cepa; Triticum aestivum; Gallus gallus; Vaccinium macrocarpon; Solanum tuberosum,
pickled herring,sill; matjes,Scandinavian,Clupea harengus; Allium cepa; Saccharum officinarum; Anethum graveolens,
gyro,gyros; doner kebab; döner; shawarma,Greek,Ovis aries; Bos taurus; Triticum aestivum; Saccharomyces cerevisiae; Solanum lycopersicum; Allium cepa; Cucumis sativus; Allium sativum,
souvlaki,chicken souvlaki; pork souvlaki,Greek,Sus scrofa; Gallus gallus; Citrus limon; Origanum vulgare; Olea europaea; Triticum aestivum; Saccharomyces cerevisiae; Solanum lycopersicum; Allium cepa,
moussaka,,Greek,Solanum melongena; Ovis aries; Solanum lycopersicum; Allium cepa; Allium sativum; Bos taurus; Triticum aestivum; Cinnamomum verum; Myristica fragrans; Olea europaea,
spanakopita,spinach pie,Greek,Spinacia oleracea; Ovis aries; Triticum aestivum; Gallus gallus; Allium cepa; Anethum graveolens; Olea europaea,
tzatziki,,Greek,Bos taurus; Cucumis sativus; Allium sativum; Olea europaea; Anethum graveolens,
