species,common_name,genus,family,clade,group
Gracilaria edulis,ceylon moss,Gracilaria,Gracilariaceae,red,Red algae
Gracilaria verrucosa,gracilaria,Gracilaria,Gracilariaceae,red,Red algae
Gracilariopsis lemaneiformis,longxucai,Gracilariopsis,Gracilariaceae,red,Red algae
Gelidium amansii,tengusa (agar),Gelidium,Gelidiaceae,red,Red algae
Gelidium corneum,agar weed,Gelidium,Gelidiaceae,red,Red algae
Pterocladiella capillacea,hirakusa,Pterocladiella,Pterocladiaceae,red,Red algae
Kappaphycus alvarezii,cottonii (carrageenan),Kappaphycus,Solieriaceae,red,Red algae
Eucheuma denticulatum,spinosum,Eucheuma,Solieriaceae,red,Red algae
Asparagopsis taxiformis,limu kohu,Asparagopsis,Bonnemaisoniaceae,red,Red algae
Asparagopsis armata,harpoon weed,Asparagopsis,Bonnemaisoniaceae,red,Red algae
Callophyllis variegata,carola,Callophyllis,Kallymeniaceae,red,Red algae
Meristotheca papulosa,tosakanori,Meristotheca,Solieriaceae,red,Red algae
Grateloupia turuturu,devil's tongue weed,Grateloupia,Halymeniaceae,red,Red algae
Hypnea musciformis,hooked red weed,Hypnea,Cystocloniaceae,red,Red algae
Gloiopeltis furcata,funori,Gloiopeltis,Endocladiaceae,red,Red algae
Osmundea pinnatifida,pepper dulse,Osmundea,Rhodomelaceae,red,Red algae
Vertebrata lanosa,truffle seaweed,Vertebrata,Rhodomelaceae,red,Red algae
Catenella nipae,catenella,Catenella,Caulacanthaceae,red,Red algae
Nemalion helminthoides,sea noodle / umisomen,Nemalion,Liagoraceae,red,Red algae
Acanthophora spicifera,limu lipeepee,Acanthophora,Rhodomelaceae,red,Red algae
Sarcodia ceylanica,sarcodia,Sarcodia,Sarcodiaceae,red,Red algae
Solieria robusta,solieria,Solieria,Solieriaceae,red,Red algae
Halymenia durvillei,halymenia,Halymenia,Halymeniaceae,red,Red algae
Betaphycus gelatinus,gelatinous betaphycus,Betaphycus,Solieriaceae,red,Red algae
Dumontia contorta,dumont's tubular weed,Dumontia,Dumontiaceae,red,Red algae
Ahnfeltia plicata,landlady's wig,Ahnfeltia,Ahnfeltiaceae,red,Red algae
Ulva lactuca,sea lettuce,Ulva,Ulvaceae,green,Green algae
Ulva prolifera,aonori,Ulva,Ulvaceae,green,Green algae
Ulva pertusa,aosa,Ulva,Ulvaceae,green,Green algae
Ulva intestinalis,gutweed,Ulva,Ulvaceae,green,Green algae
Ulva rigida,rigid sea lettuce,Ulva,Ulvaceae,green,Green algae
Ulva linza,linza,Ulva,Ulvaceae,green,Green algae
Monostroma nitidum,hitoegusa,Monostroma,Monostromataceae,green,Green algae
Monostroma latissimum,monostroma,Monostroma,Monostromataceae,green,Green algae
Caulerpa lentillifera,sea grapes / umibudo,Caulerpa,Caulerpaceae,green,Green algae
Caulerpa racemosa,lato,Caulerpa,Caulerpaceae,green,Green algae
Codium fragile,miru / dead man's fingers,Codium,Codiaceae,green,Green algae
Codium tomentosum,velvet horn,Codium,Codiaceae,green,Green algae
Chlorella vulgaris,chlorella,Chlorella,Chlorellaceae,green,Green algae
Auxenochlorella pyrenoidosa,chlorella (pyrenoidosa),Auxenochlorella,Chlorellaceae,green,Green algae
Haematococcus lacustris,haematococcus (astaxanthin),Haematococcus,Haematococcaceae,green,Green algae
Dunaliella salina,dunaliella,Dunaliella,Dunaliellaceae,green,Green algae
Prasiola japonica,kawanori,Prasiola,Prasiolaceae,green,Green algae
Euglena gracilis,euglena (midorimushi),Euglena,Euglenaceae,other,Other protists
Saccharomyces cerevisiae,baker's / brewer's yeast,Saccharomyces,Saccharomycetaceae,fungus,Fungi: yeasts and moulds
Saccharomyces pastorianus,lager yeast,Saccharomyces,Saccharomycetaceae,fungus,Fungi: yeasts and moulds
Saccharomyces bayanus,wine yeast,Saccharomyces,Saccharomycetaceae,fungus,Fungi: yeasts and moulds
Brettanomyces bruxellensis,brett,Brettanomyces,Pichiaceae,fungus,Fungi: yeasts and moulds
Kluyveromyces lactis,kefir yeast,Kluyveromyces,Saccharomycetaceae,fungus,Fungi: yeasts and moulds
Kluyveromyces marxianus,kefir yeast (marxianus),Kluyveromyces,Saccharomycetaceae,fungus,Fungi: yeasts and moulds
Debaryomyces hansenii,cheese-rind yeast,Debaryomyces,Debaryomycetaceae,fungus,Fungi: yeasts and moulds
Geotrichum candidum,cheese mould (geotrichum),Geotrichum,Dipodascaceae,fungus,Fungi: yeasts and moulds
Torulaspora delbrueckii,torulaspora (wine),Torulaspora,Saccharomycetaceae,fungus,Fungi: yeasts and moulds
Aspergillus oryzae,koji,Aspergillus,Aspergillaceae,fungus,Fungi: yeasts and moulds
Aspergillus sojae,soy sauce koji,Aspergillus,Aspergillaceae,fungus,Fungi: yeasts and moulds
Aspergillus luchuensis,awamori koji,Aspergillus,Aspergillaceae,fungus,Fungi: yeasts and moulds
Penicillium roqueforti,blue cheese mould,Penicillium,Aspergillaceae,fungus,Fungi: yeasts and moulds
Penicillium camemberti,camembert mould,Penicillium,Aspergillaceae,fungus,Fungi: yeasts and moulds
Penicillium nalgiovense,salami mould,Penicillium,Aspergillaceae,fungus,Fungi: yeasts and moulds
Fusarium venenatum,mycoprotein (Quorn),Fusarium,Nectriaceae,fungus,Fungi: yeasts and moulds
Monascus purpureus,red yeast rice,Monascus,Monascaceae,fungus,Fungi: yeasts and moulds
Neurospora sitophila,oncom mould,Neurospora,Sordariaceae,fungus,Fungi: yeasts and moulds
Neurospora intermedia,oncom mould (intermedia),Neurospora,Sordariaceae,fungus,Fungi: yeasts and moulds
Rhizopus oligosporus,tempeh mould,Rhizopus,Rhizopodaceae,fungus,Fungi: yeasts and moulds
Rhizopus oryzae,tempeh / ragi mould,Rhizopus,Rhizopodaceae,fungus,Fungi: yeasts and moulds
Actinomucor elegans,sufu mould,Actinomucor,Mucoraceae,fungus,Fungi: yeasts and moulds
Mucor racemosus,mucor (cheese),Mucor,Mucoraceae,fungus,Fungi: yeasts and moulds
Tuber melanosporum,black truffle,Tuber,Tuberaceae,fungus,Fungi: mushrooms and truffles
Tuber magnatum,white truffle,Tuber,Tuberaceae,fungus,Fungi: mushrooms and truffles
Tuber aestivum,summer truffle,Tuber,Tuberaceae,fungus,Fungi: mushrooms and truffles
Tuber borchii,bianchetto truffle,Tuber,Tuberaceae,fungus,Fungi: mushrooms and truffles
Tuber indicum,Chinese truffle,Tuber,Tuberaceae,fungus,Fungi: mushrooms and truffles
Tuber oregonense,Oregon white truffle,Tuber,Tuberaceae,fungus,Fungi: mushrooms and truffles
Morchella esculenta,morel,Morchella,Morchellaceae,fungus,Fungi: mushrooms and truffles
Morchella elata,black morel,Morchella,Morchellaceae,fungus,Fungi: mushrooms and truffles
Morchella americana,American yellow morel,Morchella,Morchellaceae,fungus,Fungi: mushrooms and truffles
Morchella importuna,landscape morel,Morchella,Morchellaceae,fungus,Fungi: mushrooms and truffles
Gyromitra esculenta,false morel (processed),Gyromitra,Discinaceae,fungus,Fungi: mushrooms and truffles
Sarcoscypha coccinea,scarlet elf cup,Sarcoscypha,Sarcoscyphaceae,fungus,Fungi: mushrooms and truffles
Aleuria aurantia,orange peel fungus,Aleuria,Pyronemataceae,fungus,Fungi: mushrooms and truffles
Cordyceps militaris,cordyceps,Cordyceps,Cordycipitaceae,fungus,Fungi: mushrooms and truffles
Ophiocordyceps sinensis,caterpillar fungus,Ophiocordyceps,Ophiocordycipitaceae,fungus,Fungi: mushrooms and truffles
Hypomyces lactifluorum,lobster mushroom,Hypomyces,Hypocreaceae,fungus,Fungi: mushrooms and truffles
Cyttaria espinosae,digüeñe,Cyttaria,Cyttariaceae,fungus,Fungi: mushrooms and truffles
Agaricus bisporus,button / cremini / portobello,Agaricus,Agaricaceae,fungus,Fungi: mushrooms and truffles
Agaricus campestris,field mushroom,Agaricus,Agaricaceae,fungus,Fungi: mushrooms and truffles
Agaricus arvensis,horse mushroom,Agaricus,Agaricaceae,fungus,Fungi: mushrooms and truffles
Agaricus augustus,the prince,Agaricus,Agaricaceae,fungus,Fungi: mushrooms and truffles
Agaricus subrufescens,almond mushroom (blazei),Agaricus,Agaricaceae,fungus,Fungi: mushrooms and truffles
Lentinula edodes,shiitake,Lentinula,Omphalotaceae,fungus,Fungi: mushrooms and truffles
Pleurotus ostreatus,oyster mushroom,Pleurotus,Pleurotaceae,fungus,Fungi: mushrooms and truffles
Pleurotus eryngii,king oyster,Pleurotus,Pleurotaceae,fungus,Fungi: mushrooms and truffles
Pleurotus pulmonarius,phoenix oyster,Pleurotus,Pleurotaceae,fungus,Fungi: mushrooms and truffles
Pleurotus citrinopileatus,golden oyster,Pleurotus,Pleurotaceae,fungus,Fungi: mushrooms and truffles
Pleurotus djamor,pink oyster,Pleurotus,Pleurotaceae,fungus,Fungi: mushrooms and truffles
Pleurotus cornucopiae,branched oyster,Pleurotus,Pleurotaceae,fungus,Fungi: mushrooms and truffles
Pleurotus giganteus,giant oyster,Pleurotus,Pleurotaceae,fungus,Fungi: mushrooms and truffles
Flammulina filiformis,enoki (cultivated),Flammulina,Physalacriaceae,fungus,Fungi: mushrooms and truffles
Flammulina velutipes,velvet shank,Flammulina,Physalacriaceae,fungus,Fungi: mushrooms and truffles
Hypsizygus tessellatus,buna-shimeji,Hypsizygus,Lyophyllaceae,fungus,Fungi: mushrooms and truffles
Lyophyllum shimeji,hon-shimeji,Lyophyllum,Lyophyllaceae,fungus,Fungi: mushrooms and truffles
Volvariella volvacea,straw mushroom,Volvariella,Pluteaceae,fungus,Fungi: mushrooms and truffles
Auricularia auricula-judae,wood ear,Auricularia,Auriculariaceae,fungus,Fungi: mushrooms and truffles
Auricularia heimuer,black wood ear,Auricularia,Auriculariaceae,fungus,Fungi: mushrooms and truffles
Auricularia polytricha,cloud ear,Auricularia,Auriculariaceae,fungus,Fungi: mushrooms and truffles
Auricularia cornea,jelly ear (cornea),Auricularia,Auriculariaceae,fungus,Fungi: mushrooms and truffles
Tremella fuciformis,snow fungus,Tremella,Tremellaceae,fungus,Fungi: mushrooms and truffles
Naematelia aurantialba,golden ear,Naematelia,Naemateliaceae,fungus,Fungi: mushrooms and truffles
Grifola frondosa,maitake,Grifola,Grifolaceae,fungus,Fungi: mushrooms and truffles
Hericium erinaceus,lion's mane,Hericium,Hericiaceae,fungus,Fungi: mushrooms and truffles
Hericium coralloides,coral tooth,Hericium,Hericiaceae,fungus,Fungi: mushrooms and truffles
Boletus edulis,porcini,Boletus,Boletaceae,fungus,Fungi: mushrooms and truffles
Boletus aereus,bronze bolete,Boletus,Boletaceae,fungus,Fungi: mushrooms and truffles
Boletus reticulatus,summer bolete,Boletus,Boletaceae,fungus,Fungi: mushrooms and truffles
Boletus pinophilus,pine bolete,Boletus,Boletaceae,fungus,Fungi: mushrooms and truffles
Imleria badia,bay bolete,Imleria,Boletaceae,fungus,Fungi: mushrooms and truffles
Leccinum scabrum,birch bolete,Leccinum,Boletaceae,fungus,Fungi: mushrooms and truffles
Leccinum aurantiacum,orange birch bolete,Leccinum,Boletaceae,fungus,Fungi: mushrooms and truffles
Suillus luteus,slippery jack,Suillus,Suillaceae,fungus,Fungi: mushrooms and truffles
Suillus granulatus,weeping bolete,Suillus,Suillaceae,fungus,Fungi: mushrooms and truffles
Suillus bovinus,jersey cow bolete,Suillus,Suillaceae,fungus,Fungi: mushrooms and truffles
Gyroporus castaneus,chestnut bolete,Gyroporus,Gyroporaceae,fungus,Fungi: mushrooms and truffles
Phlebopus portentosus,black bolete (Thai),Phlebopus,Boletinellaceae,fungus,Fungi: mushrooms and truffles
Cantharellus cibarius,chanterelle,Cantharellus,Cantharellaceae,fungus,Fungi: mushrooms and truffles
Cantharellus formosus,Pacific golden chanterelle,Cantharellus,Cantharellaceae,fungus,Fungi: mushrooms and truffles
Cantharellus cinnabarinus,cinnabar chanterelle,Cantharellus,Cantharellaceae,fungus,Fungi: mushrooms and truffles
Cantharellus lateritius,smooth chanterelle,Cantharellus,Cantharellaceae,fungus,Fungi: mushrooms and truffles
Craterellus cornucopioides,black trumpet,Craterellus,Cantharellaceae,fungus,Fungi: mushrooms and truffles
Craterellus tubaeformis,winter chanterelle,Craterellus,Cantharellaceae,fungus,Fungi: mushrooms and truffles
Hydnum repandum,hedgehog mushroom,Hydnum,Hydnaceae,fungus,Fungi: mushrooms and truffles
Hydnum rufescens,terracotta hedgehog,Hydnum,Hydnaceae,fungus,Fungi: mushrooms and truffles
Sparassis crispa,cauliflower fungus,Sparassis,Sparassidaceae,fungus,Fungi: mushrooms and truffles
Laetiporus sulphureus,chicken of the woods,Laetiporus,Fomitopsidaceae,fungus,Fungi: mushrooms and truffles
Laetiporus cincinnatus,white-pored chicken of the woods,Laetiporus,Fomitopsidaceae,fungus,Fungi: mushrooms and truffles
Fistulina hepatica,beefsteak fungus,Fistulina,Fistulinaceae,fungus,Fungi: mushrooms and truffles
Cerioporus squamosus,dryad's saddle,Cerioporus,Polyporaceae,fungus,Fungi: mushrooms and truffles
Macrolepiota procera,parasol mushroom,Macrolepiota,Agaricaceae,fungus,Fungi: mushrooms and truffles
Coprinus comatus,shaggy ink cap,Coprinus,Agaricaceae,fungus,Fungi: mushrooms and truffles
Calvatia gigantea,giant puffball,Calvatia,Agaricaceae,fungus,Fungi: mushrooms and truffles
Lycoperdon perlatum,common puffball,Lycoperdon,Agaricaceae,fungus,Fungi: mushrooms and truffles
Amanita caesarea,Caesar's mushroom,Amanita,Amanitaceae,fungus,Fungi: mushrooms and truffles
Amanita jacksonii,American Caesar,Amanita,Amanitaceae,fungus,Fungi: mushrooms and truffles
Amanita rubescens,blusher,Amanita,Amanitaceae,fungus,Fungi: mushrooms and truffles
Russula virescens,green-cracking russula,Russula,Russulaceae,fungus,Fungi: mushrooms and truffles
Russula cyanoxantha,charcoal burner,Russula,Russulaceae,fungus,Fungi: mushrooms and truffles
Lactarius deliciosus,saffron milk cap,Lactarius,Russulaceae,fungus,Fungi: mushrooms and truffles
Lactarius deterrimus,false saffron milk cap,Lactarius,Russulaceae,fungus,Fungi: mushrooms and truffles
Lactarius indigo,indigo milk cap,Lactarius,Russulaceae,fungus,Fungi: mushrooms and truffles
Lactifluus volemus,weeping milk cap,Lactifluus,Russulaceae,fungus,Fungi: mushrooms and truffles
Armillaria mellea,honey fungus,Armillaria,Physalacriaceae,fungus,Fungi: mushrooms and truffles
Armillaria ostoyae,dark honey fungus,Armillaria,Physalacriaceae,fungus,Fungi: mushrooms and truffles
Tricholoma matsutake,matsutake,Tricholoma,Tricholomataceae,fungus,Fungi: mushrooms and truffles
Tricholoma murrillianum,American matsutake,Tricholoma,Tricholomataceae,fungus,Fungi: mushrooms and truffles
Calocybe gambosa,St George's mushroom,Calocybe,Lyophyllaceae,fungus,Fungi: mushrooms and truffles
Marasmius oreades,fairy ring champignon,Marasmius,Marasmiaceae,fungus,Fungi: mushrooms and truffles
Lepista nuda,wood blewit,Lepista,Tricholomataceae,fungus,Fungi: mushrooms and truffles
Lepista personata,field blewit,Lepista,Tricholomataceae,fungus,Fungi: mushrooms and truffles
Kuehneromyces mutabilis,sheathed woodtuft,Kuehneromyces,Strophariaceae,fungus,Fungi: mushrooms and truffles
Pholiota nameko,nameko,Pholiota,Strophariaceae,fungus,Fungi: mushrooms and truffles
Pholiota adiposa,chestnut mushroom (adiposa),Pholiota,Strophariaceae,fungus,Fungi: mushrooms and truffles
Stropharia rugosoannulata,wine cap,Stropharia,Strophariaceae,fungus,Fungi: mushrooms and truffles
Cyclocybe aegerita,pioppino,Cyclocybe,Strophariaceae,fungus,Fungi: mushrooms and truffles
Termitomyces titanicus,giant termite mushroom,Termitomyces,Lyophyllaceae,fungus,Fungi: mushrooms and truffles
Termitomyces robustus,termite mushroom,Termitomyces,Lyophyllaceae,fungus,Fungi: mushrooms and truffles
Phallus indusiatus,bamboo fungus,Phallus,Phallaceae,fungus,Fungi: mushrooms and truffles
Ganoderma lucidum,reishi,Ganoderma,Ganodermataceae,fungus,Fungi: mushrooms and truffles
Ganoderma lingzhi,lingzhi,Ganoderma,Ganodermataceae,fungus,Fungi: mushrooms and truffles
Trametes versicolor,turkey tail,Trametes,Polyporaceae,fungus,Fungi: mushrooms and truffles
Inonotus obliquus,chaga,Inonotus,Hymenochaetaceae,fungus,Fungi: mushrooms and truffles
Ustilago maydis,huitlacoche,Ustilago,Ustilaginaceae,fungus,Fungi: mushrooms and truffles
Ramaria botrytis,cauliflower coral,Ramaria,Gomphaceae,fungus,Fungi: mushrooms and truffles
Gomphus clavatus,pig's ear,Gomphus,Gomphaceae,fungus,Fungi: mushrooms and truffles
Sarcodon imbricatus,shingled hedgehog,Sarcodon,Bankeraceae,fungus,Fungi: mushrooms and truffles
Albatrellus ovinus,sheep polypore,Albatrellus,Albatrellaceae,fungus,Fungi: mushrooms and truffles
Lentinus squarrosulus,lentinus (tropical),Lentinus,Polyporaceae,fungus,Fungi: mushrooms and truffles
Lentinus polychrous,hed kradang,Lentinus,Polyporaceae,fungus,Fungi: mushrooms and truffles
Schizophyllum commune,split gill,Schizophyllum,Schizophyllaceae,fungus,Fungi: mushrooms and truffles
Rhodocollybia butyracea,butter cap,Rhodocollybia,Omphalotaceae,fungus,Fungi: mushrooms and truffles
Hygrophorus russula,pink waxcap,Hygrophorus,Hygrophoraceae,fungus,Fungi: mushrooms and truffles
Chroogomphus rutilus,copper spike,Chroogomphus,Gomphidiaceae,fungus,Fungi: mushrooms and truffles
Strobilomyces strobilaceus,old man of the woods,Strobilomyces,Boletaceae,fungus,Fungi: mushrooms and truffles
Rhopilema esculentum,edible jellyfish,Rhopilema,Rhizostomatidae,animal,"Cnidarians, echinoderms, tunicates, worms and other invertebrates"
Rhopilema hispidum,sand jellyfish,Rhopilema,Rhizostomatidae,animal,"Cnidarians, echinoderms, tunicates, worms and other invertebrates"
Stomolophus meleagris,cannonball jellyfish,Stomolophus,Stomolophidae,animal,"Cnidarians, echinoderms, tunicates, worms and other invertebrates"
Nemopilema nomurai,Nomura's jellyfish,Nemopilema,Rhizostomatidae,animal,"Cnidarians, echinoderms, tunicates, worms and other invertebrates"
Anemonia viridis,snakelocks anemone (ortiguillas),Anemonia,Actiniidae,animal,"Cnidarians, echinoderms, tunicates, worms and other invertebrates"
Strongylocentrotus purpuratus,purple sea urchin,Strongylocentrotus,Strongylocentrotidae,animal,"Cnidarians, echinoderms, tunicates, worms and other invertebrates"
Strongylocentrotus droebachiensis,green sea urchin,Strongylocentrotus,Strongylocentrotidae,animal,"Cnidarians, echinoderms, tunicates, worms and other invertebrates"
Mesocentrotus franciscanus,red sea urchin,Mesocentrotus,Strongylocentrotidae,animal,"Cnidarians, echinoderms, tunicates, worms and other invertebrates"
Mesocentrotus nudus,northern sea urchin (kita-murasaki),Mesocentrotus,Strongylocentrotidae,animal,"Cnidarians, echinoderms, tunicates, worms and other invertebrates"
Heliocidaris crassispina,murasaki uni,Heliocidaris,Echinometridae,animal,"Cnidarians, echinoderms, tunicates, worms and other invertebrates"
Paracentrotus lividus,purple urchin (Mediterranean),Paracentrotus,Parechinidae,animal,"Cnidarians, echinoderms, tunicates, worms and other invertebrates"
Loxechinus albus,Chilean sea urchin,Loxechinus,Parechinidae,animal,"Cnidarians, echinoderms, tunicates, worms and other invertebrates"
Tripneustes gratilla,collector urchin,Tripneustes,Toxopneustidae,animal,"Cnidarians, echinoderms, tunicates, worms and other invertebrates"
Echinus esculentus,edible sea urchin,Echinus,Echinidae,animal,"Cnidarians, echinoderms, tunicates, worms and other invertebrates"
Apostichopus japonicus,Japanese sea cucumber,Apostichopus,Stichopodidae,animal,"Cnidarians, echinoderms, tunicates, worms and other invertebrates"
Apostichopus californicus,California sea cucumber,Apostichopus,Stichopodidae,animal,"Cnidarians, echinoderms, tunicates, worms and other invertebrates"
Holothuria scabra,sandfish,Holothuria,Holothuriidae,animal,"Cnidarians, echinoderms, tunicates, worms and other invertebrates"
Stichopus horrens,dragonfish sea cucumber,Stichopus,Stichopodidae,animal,"Cnidarians, echinoderms, tunicates, worms and other invertebrates"
Thelenota ananas,prickly redfish,Thelenota,Stichopodidae,animal,"Cnidarians, echinoderms, tunicates, worms and other invertebrates"
Cucumaria frondosa,orange-footed sea cucumber,Cucumaria,Cucumariidae,animal,"Cnidarians, echinoderms, tunicates, worms and other invertebrates"
Isostichopus fuscus,brown sea cucumber,Isostichopus,Stichopodidae,animal,"Cnidarians, echinoderms, tunicates, worms and other invertebrates"
Halocynthia roretzi,sea pineapple,Halocynthia,Pyuridae,animal,"Cnidarians, echinoderms, tunicates, worms and other invertebrates"
Halocynthia aurantium,sea peach,Halocynthia,Pyuridae,animal,"Cnidarians, echinoderms, tunicates, worms and other invertebrates"
Pyura chilensis,piure,Pyura,Pyuridae,animal,"Cnidarians, echinoderms, tunicates, worms and other invertebrates"
Microcosmus sabatieri,violet (sea fig),Microcosmus,Pyuridae,animal,"Cnidarians, echinoderms, tunicates, worms and other invertebrates"
Styela clava,mideodeok,Styela,Styelidae,animal,"Cnidarians, echinoderms, tunicates, worms and other invertebrates"
Branchiostoma belcheri,amphioxus (lancelet),Branchiostoma,Branchiostomatidae,animal,"Cnidarians, echinoderms, tunicates, worms and other invertebrates"
Sipunculus nudus,peanut worm,Sipunculus,Sipunculidae,animal,"Cnidarians, echinoderms, tunicates, worms and other invertebrates"
Urechis unicinctus,fat innkeeper worm (gaebul),Urechis,Urechidae,animal,"Cnidarians, echinoderms, tunicates, worms and other invertebrates"
Palola viridis,palolo worm,Palola,Eunicidae,animal,"Cnidarians, echinoderms, tunicates, worms and other invertebrates"
Lingula anatina,lamp shell (brachiopod),Lingula,Lingulidae,animal,"Cnidarians, echinoderms, tunicates, worms and other invertebrates"
Crassostrea virginica,eastern oyster,Crassostrea,Ostreidae,animal,Molluscs
Magallana gigas,Pacific oyster,Magallana,Ostreidae,animal,Molluscs
Magallana angulata,Portuguese oyster,Magallana,Ostreidae,animal,Molluscs
Ostrea edulis,European flat oyster,Ostrea,Ostreidae,animal,Molluscs
Ostrea lurida,Olympia oyster,Ostrea,Ostreidae,animal,Molluscs
Saccostrea glomerata,Sydney rock oyster,Saccostrea,Ostreidae,animal,Molluscs
Mytilus edulis,blue mussel,Mytilus,Mytilidae,animal,Molluscs
Mytilus galloprovincialis,Mediterranean mussel,Mytilus,Mytilidae,animal,Molluscs
Mytilus chilensis,Chilean mussel,Mytilus,Mytilidae,animal,Molluscs
Perna canaliculus,green-lipped mussel,Perna,Mytilidae,animal,Molluscs
Perna viridis,Asian green mussel,Perna,Mytilidae,animal,Molluscs
Perna perna,brown mussel,Perna,Mytilidae,animal,Molluscs
Choromytilus chorus,choro zapato,Choromytilus,Mytilidae,animal,Molluscs
Modiolus modiolus,horse mussel,Modiolus,Mytilidae,animal,Molluscs
Placopecten magellanicus,sea scallop,Placopecten,Pectinidae,animal,Molluscs
Pecten maximus,king scallop,Pecten,Pectinidae,animal,Molluscs
Pecten jacobaeus,Mediterranean scallop,Pecten,Pectinidae,animal,Molluscs
Argopecten irradians,bay scallop,Argopecten,Pectinidae,animal,Molluscs
Argopecten purpuratus,Peruvian scallop,Argopecten,Pectinidae,animal,Molluscs
Mizuhopecten yessoensis,Yesso scallop (hotate),Mizuhopecten,Pectinidae,animal,Molluscs
Chlamys islandica,Iceland scallop,Chlamys,Pectinidae,animal,Molluscs
Aequipecten opercularis,queen scallop,Aequipecten,Pectinidae,animal,Molluscs
Mercenaria mercenaria,hard clam (quahog),Mercenaria,Veneridae,animal,Molluscs
Mya arenaria,soft-shell clam,Mya,Myidae,animal,Molluscs
Panopea generosa,geoduck,Panopea,Hiatellidae,animal,Molluscs
Ensis leei,Atlantic jackknife clam,Ensis,Pharidae,animal,Molluscs
Ensis magnus,razor clam (Europe),Ensis,Pharidae,animal,Molluscs
Solen marginatus,grooved razor,Solen,Solenidae,animal,Molluscs
Siliqua patula,Pacific razor clam,Siliqua,Pharidae,animal,Molluscs
Spisula solidissima,Atlantic surf clam,Spisula,Mactridae,animal,Molluscs
Mactromeris polynyma,Arctic surf clam (hokkigai),Mactromeris,Mactridae,animal,Molluscs
Cerastoderma edule,common cockle,Cerastoderma,Cardiidae,animal,Molluscs
Ruditapes philippinarum,Manila clam,Ruditapes,Veneridae,animal,Molluscs
