species,aliases
Chrysichthys nigrodigitatus,West Africa
Misgurnus anguillicaudatus,dojo
Cyprinus carpio,carp
Tor tambroides,empurau
Stenodus leucichthys,sheefish
Salvelinus leucomaenis,iwana
Salmo salar,Atlantic salmon;salmon;lox;gravlax;smoked salmon
Salmo trutta,sea trout
Oncorhynchus nerka,Pacific salmon;sockeye;coho;king salmon;chinook
Oncorhynchus mykiss,steelhead;rainbow trout;trout
Salangichthys microdon,shirauo
Galaxias maculatus,whitebait
Brosme brosme,tusk
Pollachius virens,coley
Melanogrammus aeglefinus,haddock
Gadus chalcogrammus,pollock;surimi;fish sticks
Gadus morhua,cod;bacalao;salt cod
Myripristis berndti,menpachi
Genypterus blacodes,kingklip
Lophius litulon,ankou
Stephanolepis cirrhifer,kawahagi
Thamnaconus modestus,umazurahagi
Takifugu rubripes,torafugu
Naso unicornis,kala
Acanthurus triostegus,manini
Cilus gilberti,Chile
Argyrosomus japonicus,kob
Branchiostegus japonicus,amadai
Pagrus major,madai
Acanthopagrus schlegelii,kurodai
Emmelichthys nitidus,redbait
Aprion virescens,uku
Etelis carbunculus,ehu
Etelis coruscans,onaga
Pristipomoides filamentosus,opakapaka
Lutjanus kasmira,ta'ape
Parapristipoma trilineatum,isaki
Dicentrarchus labrax,branzino;sea bass;striped bass
Ammodytes personatus,ikanago
Lateolabrax japonicus,suzuki
Doederleinia berycoides,nodoguro
Oplegnathus fasciatus,ishidai
Girella punctata,mejina
Kuhlia sandvicensis,aholehole
Eleginops maclovinus,róbalo
Scorpaena scrofa,rascasse
Sebastes inermis,mebaru
Sebastes schlegelii,jopi-bolrak
Pleurogrammus azonus,hokke
Hexagrammos otakii,ainame
Arripis trutta,kahawai
Katsuwonus pelamis,katsuo;bonito flakes;katsuobushi
Thunnus albacares,tuna;canned tuna;tuna steak;ahi
Thunnus thynnus,bluefin
Scomber scombrus,mackerel;saba
Scomber japonicus,saba
Scomberomorus niphonius,sawara
Parupeneus multifasciatus,moano
Acanthogobius flavimanus,haze
Sicyopterus lagocephalus,fry: bichique
Polydactylus sexfilis,moi
Xiphias gladius,swordfish
Coryphaena hippurus,mahi-mahi;dorado;dolphinfish
Seriola rivoliana,kampachi
Seriola quinqueradiata,hamachi);buri/hamachi
Selar crumenophthalmus,akule
Trachurus japonicus,aji
Paralichthys dentatus,fluke
Paralichthys olivaceus,hirame
Verasper variegatus,hoshigarei
Hippoglossus hippoglossus,halibut;flounder
Solea solea,Dover sole;sole
Mugil cephalus,bottarga
Oreochromis niloticus,tilapia
Oryzias latipes,historically eaten
Cololabis saira,sanma
Cypselurus poecilopterus,tobiko
Cheilopogon agoo,tobiuo
Galeorhinus galeus,school shark
Squalus acanthias,dogfish;shark;rock salmon
Chimaera monstrosa,chimaera
Eptatretus burgeri,kkomjangeo
Petromyzon marinus,lamprey
Microcosmus sabatieri,sea fig
Halocynthia roretzi,sea pineapple;sea squirt;meongge
Apostichopus japonicus,sea cucumber
Mesocentrotus nudus,kita-murasaki
Strongylocentrotus purpuratus,sea urchin;uni;sea urchin roe
Lingula anatina,brachiopod
Sepia officinalis,cuttlefish
Watasenia scintillans,hotaru-ika
Todarodes pacificus,surume-ika
Doryteuthis pealeii,squid;calamari
Octopus minor,nakji
Octopus cyanea,he'e
Octopus vulgaris,octopus;pulpo;tako
Helix pomatia,escargot;land snail;snail;snails
Cornu aspersum,petit-gris
Aliger gigas,queen conch
Telescopium telescopium,mud creeper
Tympanotonus fuscatus,West Africa
Littorina littorea,periwinkle;winkle;winkles
Babylonia japonica,bai
Buccinum undatum,whelk
Fissurella latimarginata,keyhole limpet
Tectus niloticus,top shell
Turbo cornutus,horned turban
Haliotis midae,perlemoen
Haliotis discus,ezo awabi
Cerastoderma edule,cockle
Ensis magnus,Europe
Panopea generosa,geoduck
Bactronophorus thoracites,shipworm
Tresus capax,horse clam
Mactromeris polynyma,hokkigai
Mya arenaria,soft-shell clam;steamers
Mercenaria mercenaria,quahog;hard clam;clam;clams;littleneck;cherrystone;manila clam
Mizuhopecten yessoensis,hotate
Atrina pectinata,tairagi
Mytilus edulis,mussel;mussels
Crassostrea virginica,oysters;oyster
Urechis unicinctus,gaebul
Scolopendra subspinipes,skewered
Comadia redtenbacheri,chinicuil
Cirina forda,kanni
Bombyx mori,silkworm pupa;beondegi
Chaoborus edulis,kungu
Cybister tripunctatus,long ga
Rhynchophorus palmarum,chontacuro
Alphitobius diaperinus,buffalo worm
Tenebrio molitor,mealworm
Polybia occidentalis,Mexico
Vespa mandarinia,hachinoko
Atta laevigata,leafcutter ant
Apis mellifera,honey bee;honey;royal jelly;bee pollen
Corisella texcocana,water boatman eggs
Lethocerus indicus,maeng da
Macrotermes subhyalinus,subhyalinus
Acheta domesticus,cricket;crickets;cricket flour
Oratosquilla oratoria,shako
Neomysis intermedia,ami
Euphausia pacifica,isada
Euphausia superba,krill
Erimacrus isenbeckii,kegani
Ucides cordatus,caranguejo-uçá
Chionoecetes japonicus,beni-zuwai
Callinectes sapidus,blue crab;crab;crabs;crab meat
Metacarcinus magister,Dungeness crab
Lithodes santolla,centolla
Paralithodes camtschaticus,king crab
Munida gregaria,langostino
Homarus americanus,lobster
Procambarus clarkii,crayfish;crawfish;crawdad
Macrobrachium rosenbergii,freshwater prawn
Crangon crangon,North Sea
Aristeus antennatus,gamba roja
Penaeus duorarum,Gulf
Penaeus aztecus,Gulf
Penaeus vannamei,shrimp;prawns;prawn;shrimps
Pollicipes pollicipes,percebes
Cyriopagopus albostriatus,a-ping
Anemonia viridis,ortiguillas
Rhopilema esculentum,edible jellyfish
Rhizopus oryzae,ragi mould
Rhizopus oligosporus,tempeh mold;tempeh
Ustilago maydis,huitlacoche;corn smut
Tremella fuciformis,snow fungus;white fungus
Cantharellus cibarius,chanterelle
Auricularia cornea,cornea
Auricularia auricula-judae,wood ear;black fungus;cloud ear
Grifola frondosa,maitake;hen of the woods
Lentinus squarrosulus,tropical
Hericium erinaceus,lion's mane
Boletus edulis,porcini;cep;penny bun
Phlebopus portentosus,Thai
Pleurotus ostreatus,oyster mushroom;king oyster
Pholiota adiposa,adiposa
Agaricus subrufescens,blazei
Agaricus bisporus,cremini;portobello;button;mushroom;mushrooms;portabella;champignon
Flammulina velutipes,enoki;enokitake
Lentinula edodes,shiitake
Saccharomyces cerevisiae,brewer's yeast;baker's;yeast;bread;beer;wine;sourdough;leavened
Torulaspora delbrueckii,wine
Geotrichum candidum,geotrichum
Morchella esculenta,morel;morels
Tuber magnatum,white truffle
Tuber melanosporum,black truffle;truffle
Neurospora intermedia,intermedia
Fusarium venenatum,Quorn;mycoprotein;quorn
Aspergillus oryzae,koji mold;koji;miso;soy sauce;sake;mirin
Penicillium roqueforti,blue cheese mold;blue cheese;roquefort;gorgonzola;stilton
Penicillium camemberti,camembert mold;brie;camembert
