family,clade,species,n,anchor_groups,mode,family_joins_tree_at_Myr,source_or_basis,confidence,matters_for_PD,reviewer_suggested_age_or_anchor,reviewer_notes
Chordariaceae,brown,"Cladosiphon okamuranus, Nemacystus decipiens",2,Laminariaceae + Fucaceae,crown,111,TimeTree node ages only; no literature check,untested,low,,
Scytosiphonaceae,brown,Petalonia binghamiae,1,Laminariaceae + Fucaceae,crown,111,TimeTree node ages only; no literature check,untested,low,,
Tegulidae,animal,Tectus niloticus,1,Turbinidae + Trochidae,crown,111,TimeTree node ages only; no literature check,untested,low,,
Naemateliaceae,fungus,Naematelia aurantialba,1,Tremellaceae,stem @100,100,Tremellales; formerly Tremella aurantialba. 100 Ma is a guess for the split from Tremella fuciformis,low,low,,
Pontederiaceae,plant,Monochoria vaginalis,1,Commelinaceae,stem @100,94,TimeTree node ages only; no literature check,untested,low,,
Icacinaceae,plant,Poraqueiba sericea,1,Rubiaceae + Boraginaceae + Solanaceae,crown,94,TimeTree node ages only; no literature check,untested,low,,
Suillaceae,fungus,"Suillus luteus, Suillus granulatus, Suillus bovinus",3,Boletaceae + Gyroporaceae,stem @130,91,"Boletales crown 142 (133-153) Ma, Varga et al. 2019 Nat Ecol Evol",medium-high,low,,
Humiriaceae,plant,Endopleura uchi,1,Euphorbiaceae + Passifloraceae,crown,87,TimeTree node ages only; no literature check,untested,low,,
Caryocaraceae,plant,"Caryocar brasiliense, Caryocar villosum, Caryocar nuciferum",3,Euphorbiaceae + Passifloraceae,crown,87,TimeTree node ages only; no literature check,untested,low,,
Eledonidae,animal,"Eledone cirrhosa, Eledone moschata",2,Octopodidae + Enteroctopodidae,crown,82,TimeTree node ages only; no literature check,untested,low,,
Dipterocarpaceae,plant,"Shorea robusta, Shorea stenoptera, Vateria indica",3,Malvaceae + Cistaceae,crown,82,TimeTree node ages only; no literature check,untested,low,,
Pittosporaceae,plant,"Billardiera scandens, Billardiera longiflora",2,Apiaceae + Araliaceae,crown,72,TimeTree node ages only; no literature check,untested,low,,
Echinidae,animal,Echinus esculentus,1,Parechinidae + Strongylocentrotidae,crown,58,TimeTree node ages only; no literature check,untested,low,,
