node,age_Ma,basis,source_expr,families_anchored_here,n_species,reviewer_suggested_age,reviewer_notes
Imparidentia,300,"approximate, uncited",APPROX),"Veneridae, Mactridae, Cardiidae, Donacidae, Cyrenidae, Arcticidae, Hiatellidae, Solenidae, Pharidae, Myidae, Pholadidae, Teredinidae",32,,
Gastropoda,450,"approximate, uncited",APPROX,"Patellidae, Nacellidae",2,,
Orthogastropoda,420,"approximate, uncited",APPROX,Neritidae,1,,
Vetigastropoda,350,"approximate, uncited",APPROX),"Haliotidae, Fissurellidae, Trochidae, Tegulidae, Turbinidae",14,,
Apogastropoda,400,"approximate, uncited",APPROX,,0,,
Caenogastropoda,300,"approximate, uncited",APPROX,"Ampullariidae, Viviparidae, Littorinidae, Strombidae, Potamididae, Thiaridae, Semisulcospiridae",10,,
Neogastropoda,150,"approximate, uncited",APPROX),"Buccinidae, Busyconidae, Babyloniidae, Muricidae",10,,
Heterobranchia,300,"approximate, uncited",APPROX,Aplysiidae,1,,
Stylommatophora,150,"approximate, uncited",APPROX),"Helicidae, Achatinidae",6,,
Coleoidea,260,"approximate, uncited","APPROX + "" (cf. Tanner et al. 2017)""",,0,,
Octopoda,150,"approximate, uncited",APPROX),"Octopodidae, Enteroctopodidae, Eledonidae",9,,
Decapodiformes,180,"approximate, uncited",APPROX),"Sepiidae, Sepiolidae, Loliginidae, Ommastrephidae, Enoploteuthidae",24,,
Echinodermata,500,"approximate, uncited",APPROX,,0,,
Echinozoa,450,"approximate, uncited",APPROX,,0,,
Echinoidea,250,"approximate, uncited",APPROX),"Strongylocentrotidae, Echinometridae, Parechinidae, Toxopneustidae, Echinidae",9,,
Holothuroidea,250,"approximate, uncited",APPROX),"Stichopodidae, Holothuriidae, Cucumariidae",7,,
Chordates,560,cited: see backbone.py,STR21,Branchiostomatidae,1,,
Olfactores,545,"approximate, uncited",APPROX,,0,,
Tunicata,300,"approximate, uncited",APPROX),"Pyuridae, Styelidae",5,,
Vertebrates,535,"approximate, uncited","APPROX + "" (cyclostome/gnathostome split)""",,0,,
Cyclostomata,480,"approximate, uncited",APPROX),"Petromyzontidae, Geotriidae, Myxinidae",7,,
Chondrichthyes,420,"approximate, uncited",APPROX,"Callorhinchidae, Chimaeridae",2,,
Elasmobranchii,300,"approximate, uncited",APPROX,,0,,
Selachii,250,"approximate, uncited",APPROX,Squalidae,1,,
Galeomorphii,200,"approximate, uncited",APPROX,Lamnidae,2,,
Carcharhiniformes,150,"approximate, uncited",APPROX),"Scyliorhinidae, Triakidae, Carcharhinidae",5,,
Batoidea,200,"approximate, uncited",APPROX),"Rajidae, Dasyatidae",5,,
Anura,200,"approximate, uncited",APPROX),"Ranidae, Dicroglossidae, Pyxicephalidae, Leptodactylidae",11,,
Sauropsids,280,"approximate, uncited","APPROX + "" (lepidosaur/archosaur split)""",,0,,
Squamata,200,"approximate, uncited",APPROX),"Iguanidae, Pythonidae, Colubridae, Elapidae, Viperidae, Varanidae, Teiidae",12,,
Archosaurs + turtles,260,"approximate, uncited",APPROX,,0,,
Testudines,200,"approximate, uncited",APPROX),"Chelydridae, Emydidae, Trionychidae",7,,
Archosaurs,250,"approximate, uncited","APPROX + "" (crocodilians vs birds)""",,0,,
Crocodylia,90,"approximate, uncited",APPROX),"Alligatoridae, Crocodylidae",5,,
Phaeophyceae,190,"approximate, uncited","APPROX + "" (cf. Silberfeld et al. 2010","Ralfsiaceae, Chordaceae",2,,
Ectocarpales + BACR,150,"approximate, uncited",APPROX,"Chordariaceae, Scytosiphonaceae",3,,
BACR,100,"approximate, uncited",APPROX,,0,,
Laminariales,30,"approximate, uncited",APPROX),"Laminariaceae, Alariaceae, Lessoniaceae",15,,
Fucales,60,"approximate, uncited",APPROX),"Fucaceae, Sargassaceae, Himanthaliaceae, Durvillaeaceae",9,,
Bangiales,100,"approximate, uncited",APPROX),Bangiaceae,7,,
Nemaliophycidae,500,"approximate, uncited","APPROX + "" (subclass split 661 in "" + YANG16 + "")"")","Palmariaceae, Liagoraceae",4,,
Ahnfeltiophycidae + Rhodymeniophycidae,508,cited: see backbone.py,YANG16,Ahnfeltiaceae,1,,
Rhodymeniophycidae,450,"approximate, uncited",APPROX,"Gelidiaceae, Pterocladiaceae, Bonnemaisoniaceae",5,,
Ceramiales,335,cited: see backbone.py,YANG16),Rhodomelaceae,3,,
Gigartinales + Gracilariales + Halymeniales,400,"approximate, uncited",APPROX,"Gracilariaceae, Halymeniaceae, Endocladiaceae, Sarcodiaceae",8,,
Gigartinales,250,"approximate, uncited",APPROX),"Gigartinaceae, Cystocloniaceae, Phyllophoraceae, Solieriaceae, Kallymeniaceae, Dumontiaceae, Caulacanthaceae",13,,
Ulvophyceae,450,"approximate, uncited",APPROX,,0,,
Ulvales,150,"approximate, uncited",APPROX),"Ulvaceae, Monostromataceae",8,,
Bryopsidales,200,"approximate, uncited",APPROX),"Caulerpaceae, Codiaceae",4,,
Trebouxiophyceae,400,"approximate, uncited",APPROX),"Chlorellaceae, Prasiolaceae",3,,
Chlorophyceae,400,"approximate, uncited",APPROX),"Haematococcaceae, Dunaliellaceae",2,,
